"Libellé";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes"
"2008-T3";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.3";"A";"-0.3";"A"
"2008-T2";"-0.6";"A";"-0.6";"A";"-0.6";"A";"-0.6";"A";"-0.6";"A";"-0.6";"A";"-0.6";"A";"-0.6";"A";"-0.6";"A";"-0.5";"A";"-0.5";"A";"-0.5";"A";"-0.6";"A";"-0.6";"A";"-0.5";"A";"-0.5";"A";"-0.5";"A";"-0.4";"A";"-0.4";"A"
"2008-T1";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.4";"A";"0.4";"A"
"2007-T4";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A"
"2007-T3";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.5";"A";"0.5";"A";"0.4";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.4";"A";"0.4";"A"
"2007-T2";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.8";"A";"0.8";"A"
"2007-T1";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A"
"2006-T4";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.8";"A";"0.8";"A"
"2006-T3";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.0";"A";"0.0";"A"
"2006-T2";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A"
"2006-T1";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A"
"2005-T4";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.8";"A";"0.8";"A"
"2005-T3";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A"
"2005-T2";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.2";"A";"0.2";"A"
"2005-T1";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.3";"A";"0.3";"A"
"2004-T4";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.7";"A";"0.8";"A";"0.8";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.8";"A";"0.7";"A";"0.7";"A";"0.8";"A"
"2004-T3";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A"
"2004-T2";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A"
"2004-T1";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"0.9";"A";"0.9";"A"
"2003-T4";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A"
"2003-T3";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A"
"2003-T2";"-0.3";"A";"-0.3";"A";"-0.3";"A";"-0.3";"A";"-0.3";"A";"-0.3";"A";"-0.3";"A";"-0.3";"A";"-0.3";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A"
"2003-T1";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.2";"A";"0.2";"A"
"2002-T4";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"-0.1";"A";"0.0";"A"
"2002-T3";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.4";"A";"0.4";"A"
"2002-T2";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.5";"A";"0.5";"A"
"2002-T1";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.5";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.4";"A";"0.4";"A"
"2001-T4";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"0.0";"A";"0.0";"A"
"2001-T3";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A"
"2001-T2";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.2";"A";"0.2";"A"
"2001-T1";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A"
"2000-T4";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A"
"2000-T3";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.6";"A";"0.6";"A"
"2000-T2";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.1";"A";"1.0";"A";"1.0";"A"
"2000-T1";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"0.9";"A";"0.9";"A"
"1999-T4";"1.3";"A";"1.3";"A";"1.3";"A";"1.3";"A";"1.3";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A"
"1999-T3";"1.5";"A";"1.5";"A";"1.5";"A";"1.5";"A";"1.5";"A";"1.5";"A";"1.5";"A";"1.5";"A";"1.5";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.2";"A";"1.2";"A"
"1999-T2";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.8";"A";"0.8";"A"
"1999-T1";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"0.5";"A";"0.5";"A"
"1998-T4";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.6";"A";"0.8";"A";"0.8";"A"
"1998-T3";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A"
"1998-T2";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.9";"A";"0.9";"A"
"1998-T1";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.8";"A";"0.8";"A"
"1997-T4";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.1";"A";"1.1";"A"
"1997-T3";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"0.9";"A";"0.9";"A";"0.9";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"0.8";"A";"0.8";"A"
"1997-T2";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.1";"A";"1.2";"A"
"1997-T1";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A"
"1996-T4";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.2";"A";"0.1";"A";"0.1";"A"
"1996-T3";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.6";"A";"0.6";"A"
"1996-T2";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.2";"A";"0.2";"A"
"1996-T1";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.6";"A";"0.6";"A"
"1995-T4";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.2";"A";"0.2";"A"
"1995-T3";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.1";"A";"0.1";"A"
"1995-T2";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.5";"A";"0.5";"A"
"1995-T1";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.4";"A";"0.6";"A";"0.6";"A"
"1994-T4";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A"
"1994-T3";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.9";"A";"0.5";"A";"0.5";"A"
"1994-T2";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.0";"A";"1.1";"A";"1.1";"A"
"1994-T1";"0.7";"A";"0.7";"A";"0.7";"A";"0.6";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A"
"1993-T4";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.3";"A";"0.3";"A"
"1993-T3";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.1";"A";"0.1";"A"
"1993-T2";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A"
"1993-T1";"-0.6";"A";"-0.6";"A";"-0.6";"A";"-0.6";"A";"-0.6";"A";"-0.6";"A";"-0.6";"A";"-0.6";"A";"-0.6";"A";"-0.7";"A";"-0.7";"A";"-0.7";"A";"-0.7";"A";"-0.7";"A";"-0.7";"A";"-0.7";"A";"-0.6";"A";"-0.6";"A";"-0.6";"A"
"1992-T4";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A"
"1992-T3";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.1";"A";"0.0";"A";"-0.1";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"-0.1";"A";"0.0";"A";"0.0";"A"
"1992-T2";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"-0.1";"A";"-0.1";"A"
"1992-T1";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"0.8";"A";"1.0";"A";"1.0";"A"
"1991-T4";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.7";"A";"0.5";"A";"0.5";"A"
"1991-T3";"0.3";"A";"0.3";"A";"0.3";"A";"0.4";"A";"0.4";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.4";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.3";"A";"0.3";"A"
"1991-T2";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.3";"A";"0.3";"A"
"1991-T1";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"-0.2";"A";"-0.2";"A"
"1990-T4";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"-0.2";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.4";"A";"0.4";"A"
"1990-T3";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.6";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A"
"1990-T2";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.4";"A";"0.4";"A"
"1990-T1";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.5";"A";"0.5";"A"
"1989-T4";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.4";"A";"1.3";"A";"1.3";"A";"1.3";"A";"1.3";"A";"1.3";"A";"1.3";"A";"1.3";"A";"1.3";"A";"1.5";"A";"1.5";"A"
"1989-T3";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A";"1.1";"A"
"1989-T2";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"0.8";"A";"0.8";"A"
"1989-T1";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.2";"A";"1.3";"A";"1.3";"A"
